Name,Num,By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
James Johnson,#16,2017-18 ,MIA,5,32.1,12.4,4.6,8.4,54.8,1.4,2.6,53.8,1.8,2.8,64.3,0.6,5.4,6.0,4.8,2.0,1.2,1.2,3.4,32.0,0,0,-8.4
Rodney McGruder,#17,2017-18 ,MIA,4,4.0,0.5,0.3,1.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,1.7,0,0,-2.0
Justise Winslow,#20,2017-18 ,MIA,5,25.0,9.8,3.0,8.4,35.7,1.4,3.8,36.8,2.4,3.4,70.6,1.4,5.2,6.6,2.6,1.6,0.8,0.8,3.4,24.8,1,0,-3.6
Justise Winslow,#20,2015-16 ,MIA,13,25.4,6.9,2.5,5.7,43.2,0.4,1.4,27.8,1.6,2.3,70.0,1.3,3.5,4.8,0.6,0.9,0.6,0.3,2.7,15.5,0,0,-3.3
Hassan Whiteside,#21,2017-18 ,MIA,5,15.4,5.2,1.8,4.0,45.0,0.0,0.0,0.0,1.6,2.6,61.5,2.0,4.0,6.0,0.2,2.4,0.0,1.2,3.2,13.9,1,0,-5.2
Hassan Whiteside,#21,2015-16 ,MIA,10,29.1,12.0,4.7,6.9,68.1,0.0,0.0,0.0,2.6,4.4,59.1,2.6,8.3,10.9,0.3,1.3,0.8,2.8,3.4,35.0,6,0,4.5
Luke Babbitt,#22,2017-18 ,MIA,2,1.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.0
Jordan Mickey,#25,2017-18 ,MIA,23,12.4,4.0,1.7,3.6,47.6,0.1,0.7,12.5,0.6,0.8,68.4,0.8,2.7,3.5,0.4,0.8,0.3,0.4,1.6,10.2,0,0,-1.3
Udonis Haslem,#40,2017-18 ,MIA,14,5.1,0.6,0.2,1.1,20.0,0.1,0.6,12.5,0.1,0.1,50.0,0.2,0.5,0.7,0.4,0.1,0.0,0.1,0.2,2.3,0,0,-0.3
Udonis Haslem,#40,2016-17 ,MIA,16,8.1,1.9,0.7,1.4,47.8,0.0,0.2,0.0,0.6,0.9,60.0,0.5,1.8,2.3,0.4,0.5,0.4,0.1,1.4,6.0,0,0,-4.3
Udonis Haslem,#40,2015-16 ,MIA,37,7.0,1.6,0.6,1.6,37.7,0.0,0.2,11.1,0.3,0.4,78.6,0.3,1.8,2.0,0.4,0.1,0.1,0.1,0.7,5.0,0,0,-0.5
Udonis Haslem,#40,2014-15 ,MIA,62,16.0,4.2,1.7,3.9,44.8,0.0,0.2,20.0,0.7,1.0,70.3,1.1,3.0,4.2,0.7,0.7,0.3,0.2,1.8,11.3,3,0,-2.5
Udonis Haslem,#40,2013-14 ,MIA,46,14.2,3.8,1.6,3.2,50.7,0.0,0.0,0.0,0.5,1.0,56.8,0.9,2.9,3.8,0.3,0.5,0.2,0.3,1.7,9.9,0,0,-1.5
Udonis Haslem,#40,2012-13 ,MIA,75,18.8,3.9,1.7,3.3,51.4,0.0,0.0,0.0,0.4,0.6,71.1,1.3,4.1,5.4,0.5,0.6,0.4,0.2,2.3,12.3,1,0,3.6
Udonis Haslem,#40,2011-12 ,MIA,64,24.8,6.0,2.4,5.6,42.3,0.0,0.0,0.0,1.3,1.6,81.4,1.8,5.5,7.3,0.7,0.9,0.5,0.4,2.2,17.6,4,0,1.3
Udonis Haslem,#40,2010-11 ,MIA,13,26.5,8.0,3.4,6.6,51.2,0.0,0.0,0.0,1.2,1.5,80.0,2.2,5.9,8.2,0.5,1.1,0.5,0.2,3.0,19.7,4,0,4.1
Udonis Haslem,#40,2009-10 ,MIA,78,27.9,9.9,4.0,8.1,49.4,0.0,0.0,0.0,1.9,2.5,76.2,2.1,5.9,8.1,0.7,1.0,0.4,0.3,2.2,21.6,21,0,0.9
Udonis Haslem,#40,2008-09 ,MIA,75,34.1,10.6,4.4,8.6,51.8,0.0,0.0,0.0,1.7,2.3,75.3,2.3,6.0,8.2,1.1,1.1,0.6,0.3,2.7,23.8,20,0,0.5
Udonis Haslem,#40,2007-08 ,MIA,49,36.8,12.0,4.8,10.3,46.7,0.0,0.0,0.0,2.3,2.9,81.0,2.2,6.9,9.0,1.4,1.4,0.8,0.4,3.0,27.1,11,0,-6.7
Udonis Haslem,#40,2006-07 ,MIA,79,31.4,10.7,4.5,9.1,49.2,0.0,0.1,0.0,1.7,2.6,68.0,2.4,5.9,8.3,1.2,1.4,0.6,0.3,3.0,23.9,21,0,0.1
Udonis Haslem,#40,2005-06 ,MIA,81,30.7,9.3,3.7,7.3,50.8,0.0,0.0,0.0,1.9,2.5,78.9,2.1,5.8,7.8,1.2,1.0,0.6,0.2,2.7,22.0,14,0,3.3
Udonis Haslem,#40,2004-05 ,MIA,80,33.5,10.9,4.3,8.0,54.0,0.0,0.1,0.0,2.2,2.8,79.1,3.0,6.1,9.1,1.4,1.4,0.8,0.5,3.3,26.3,23,0,5.2
Udonis Haslem,#40,2003-04 ,MIA,75,24.0,7.3,2.7,6.0,45.9,0.0,0.0,0.0,1.9,2.4,76.5,2.5,3.8,6.3,0.7,1.0,0.4,0.3,2.6,17.2,11,0,-0.2
Aaron Gordon,#00,2017-18 ,ORL,58,32.9,17.6,6.5,14.9,43.4,2.0,5.9,33.6,2.7,3.9,69.8,1.5,6.4,7.9,2.3,1.8,1.0,0.8,1.9,34.1,17,0,-1.6
Aaron Gordon,#00,2016-17 ,ORL,80,28.7,12.7,4.9,10.8,45.4,1.0,3.3,28.8,2.0,2.7,71.9,1.5,3.6,5.1,1.9,1.1,0.8,0.5,2.2,24.5,7,0,-2.0
Aaron Gordon,#00,2015-16 ,ORL,78,23.9,9.2,3.5,7.4,47.3,0.5,1.8,29.6,1.7,2.5,66.8,2.0,4.5,6.5,1.6,0.8,0.8,0.7,2.0,23.0,12,0,-1.0
Aaron Gordon,#00,2014-15 ,ORL,47,17.0,5.2,2.0,4.4,44.7,0.3,1.0,27.1,0.9,1.3,72.1,1.0,2.6,3.6,0.7,0.8,0.4,0.5,1.8,12.5,1,0,-3.5
Jamel Artis,#0,2017-18 ,ORL,15,18.6,5.1,2.1,5.3,39.2,0.5,1.9,27.6,0.5,0.8,58.3,0.3,2.3,2.5,1.2,0.5,0.1,0.2,0.7,10.4,0,0,-0.4
Jonathan Isaac,#1,2017-18 ,ORL,27,19.8,5.4,2.0,5.4,37.9,0.6,1.7,34.8,0.7,0.9,76.0,0.6,3.1,3.7,0.7,1.0,1.2,1.1,1.8,16.8,0,0,-3.7
Arron Afflalo,#4,2017-18 ,ORL,53,12.9,3.4,1.2,3.1,40.1,0.5,1.3,38.6,0.4,0.5,84.6,0.1,1.2,1.2,0.6,0.4,0.1,0.2,1.1,6.1,0,0,-1.8
Arron Afflalo,#4,2013-14 ,ORL,73,35.0,18.2,6.4,13.8,45.9,1.8,4.1,42.7,3.8,4.6,81.5,0.4,3.2,3.6,3.4,2.0,0.5,0.0,1.9,27.2,1,0,-5.0
Arron Afflalo,#4,2012-13 ,ORL,64,36.0,16.5,6.2,14.1,43.9,1.1,3.8,30.0,3.0,3.5,85.7,0.5,3.3,3.7,3.2,2.2,0.6,0.2,2.1,26.1,0,0,-5.0
Marreese Speights,#5,2017-18 ,ORL,52,13.0,7.7,2.7,6.7,39.5,1.7,4.5,36.9,0.8,1.1,72.7,0.4,2.2,2.6,0.8,0.8,0.2,0.4,2.0,12.9,1,0,0.5
Shelvin Mack,#7,2017-18 ,ORL,69,19.8,6.9,2.6,6.0,43.0,0.7,2.0,34.5,1.0,1.4,71.1,0.3,2.1,2.4,3.9,1.3,0.8,0.1,1.3,17.1,1,0,-1.1
Mario Hezonja,#8,2017-18 ,ORL,75,22.1,9.6,3.6,8.2,44.2,1.2,3.6,33.7,1.1,1.4,81.9,0.5,3.2,3.7,1.4,1.1,1.1,0.4,1.8,19.6,2,0,-2.7
Mario Hezonja,#8,2016-17 ,ORL,65,14.8,4.9,1.8,5.1,35.5,0.7,2.2,29.9,0.6,0.8,80.0,0.3,1.9,2.2,1.0,0.9,0.5,0.2,1.1,10.2,0,0,-4.4
Mario Hezonja,#8,2015-16 ,ORL,79,17.9,6.1,2.3,5.3,43.3,0.8,2.4,34.9,0.6,0.7,90.7,0.4,1.9,2.2,1.4,1.2,0.5,0.2,1.6,11.7,0,0,-0.1
Nikola Vucevic,#9,2017-18 ,ORL,57,29.5,16.5,7.0,14.7,47.5,1.1,3.6,31.4,1.4,1.6,81.9,1.8,7.4,9.2,3.4,1.9,1.0,1.1,2.5,36.8,29,1,-0.6
Nikola Vucevic,#9,2016-17 ,ORL,75,28.8,14.6,6.4,13.7,46.8,0.3,1.0,30.7,1.4,2.1,66.9,2.3,8.0,10.4,2.8,1.6,1.0,1.0,2.4,35.7,38,0,-1.9
Nikola Vucevic,#9,2015-16 ,ORL,65,31.3,18.2,8.2,16.1,51.0,0.0,0.1,22.2,1.7,2.3,75.3,2.7,6.2,8.9,2.8,1.9,0.8,1.1,2.7,36.7,29,0,-0.7
Nikola Vucevic,#9,2014-15 ,ORL,74,34.2,19.3,8.5,16.3,52.3,0.0,0.1,33.3,2.2,2.9,75.2,3.2,7.7,10.9,2.0,2.0,0.7,0.7,3.0,37.8,45,0,-4.1
Nikola Vucevic,#9,2013-14 ,ORL,57,31.8,14.2,6.2,12.2,50.7,0.0,0.0,0.0,1.8,2.4,76.6,3.2,7.7,11.0,1.8,2.0,1.1,0.8,3.0,33.8,36,0,-3.1
Nikola Vucevic,#9,2012-13 ,ORL,77,33.2,13.1,6.0,11.5,51.9,0.0,0.0,0.0,1.1,1.6,68.3,3.5,8.4,11.9,1.9,1.8,0.8,1.0,2.8,33.8,46,0,-5.0
Evan Fournier,#10,2017-18 ,ORL,57,32.2,17.8,6.5,14.1,45.9,2.2,5.9,37.9,2.6,3.0,86.7,0.4,2.8,3.2,2.9,1.7,0.8,0.3,2.4,27.6,0,0,-2.1
Evan Fournier,#10,2016-17 ,ORL,68,32.8,17.2,6.0,13.7,43.9,1.9,5.3,35.6,3.3,4.1,80.5,0.6,2.4,3.1,3.0,2.1,1.0,0.1,2.6,26.3,1,0,-2.9
Evan Fournier,#10,2015-16 ,ORL,79,32.5,15.4,5.4,11.8,46.2,2.0,4.9,40.0,2.5,3.0,83.6,0.4,2.4,2.8,2.7,1.7,1.2,0.0,2.7,24.9,0,0,-2.4
Evan Fournier,#10,2014-15 ,ORL,58,28.6,12.0,4.4,9.9,44.0,1.5,3.9,37.8,1.8,2.5,72.8,0.5,2.2,2.6,2.1,1.4,0.7,0.0,2.0,19.1,0,0,-2.5
Bismack Biyombo,#11,2017-18 ,ORL,82,18.2,5.7,2.2,4.3,52.0,0.0,0.0,0.0,1.2,1.9,65.0,1.8,4.0,5.7,0.8,1.0,0.3,1.2,1.9,17.0,7,0,-5.2
Bismack Biyombo,#11,2016-17 ,ORL,81,22.1,6.0,2.2,4.2,52.8,0.0,0.0,0.0,1.5,2.9,53.4,1.9,5.1,7.0,0.9,1.2,0.3,1.1,2.5,18.9,10,0,-4.3
D.J. Augustin,#14,2017-18 ,ORL,75,23.5,10.2,3.3,7.2,45.2,1.5,3.6,41.9,2.2,2.5,86.8,0.4,1.7,2.1,3.8,1.6,0.7,0.0,1.3,19.0,2,0,-1.7
D.J. Augustin,#14,2016-17 ,ORL,78,19.7,7.9,2.5,6.6,37.7,1.2,3.5,34.7,1.7,2.1,81.4,0.2,1.3,1.5,2.7,1.2,0.4,0.0,1.3,13.8,0,0,-5.7
Rodney Purvis,#15,2017-18 ,ORL,16,18.1,6.0,2.2,6.7,32.7,0.8,3.3,25.0,0.8,0.9,86.7,0.1,1.6,1.7,1.1,0.6,0.2,0.2,1.6,10.1,0,0,-3.6
Jonathon Simmons,#17,2017-18 ,ORL,69,29.4,13.9,5.1,11.0,46.5,1.0,3.0,33.8,2.7,3.5,76.8,0.9,2.6,3.5,2.5,2.1,0.8,0.2,2.5,22.9,0,0,-4.3
Khem Birch,#24,2017-18 ,ORL,42,13.8,4.2,1.6,3.0,54.0,0.0,0.0,0.0,1.0,1.5,68.9,1.7,2.6,4.3,0.8,0.5,0.4,0.5,1.3,12.7,3,0,0.3
Wes Iwundu,#25,2017-18 ,ORL,62,16.5,3.7,1.5,3.5,42.7,0.1,0.7,19.6,0.5,0.8,72.3,0.6,1.6,2.2,0.9,0.5,0.5,0.2,1.3,9.4,0,0,-1.7
Terrence Ross,#31,2017-18 ,ORL,24,25.0,8.7,3.2,8.0,39.8,1.3,3.9,32.3,1.1,1.5,75.0,0.4,2.6,3.0,1.6,1.2,1.1,0.5,1.9,18.3,0,0,-2.0
Terrence Ross,#31,2016-17 ,ORL,24,31.2,12.5,4.8,11.1,43.1,1.9,5.6,34.1,1.0,1.1,85.2,0.2,2.7,2.8,1.8,1.5,1.4,0.5,2.5,23.0,0,0,-1.4
Chris McCullough,#1,2017-18 ,WAS,19,4.7,2.4,0.9,2.2,42.9,0.1,0.4,12.5,0.5,0.7,64.3,0.4,0.9,1.3,0.2,0.1,0.0,0.3,0.4,5.0,0,0,-0.8
Chris McCullough,#1,2016-17 ,WAS,2,4.1,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,50.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,2.7,0,0,-1.0
John Wall,#2,2017-18 ,WAS,6,39.1,26.0,9.3,21.2,44.1,0.7,3.5,19.0,6.7,7.8,85.1,0.5,5.2,5.7,11.5,4.5,2.3,1.3,2.7,56.6,3,0,-0.5
John Wall,#2,2016-17 ,WAS,13,39.0,27.2,9.8,21.6,45.2,1.6,4.7,34.4,6.0,7.2,83.9,0.5,3.2,3.7,10.3,4.2,1.7,1.2,2.0,51.4,7,0,2.1
John Wall,#2,2014-15 ,WAS,7,38.9,17.4,6.1,15.7,39.1,0.4,2.4,17.6,4.7,5.6,84.6,0.7,4.0,4.7,11.9,3.9,1.4,1.4,1.9,45.6,5,0,4.1
John Wall,#2,2013-14 ,WAS,11,38.1,16.3,5.5,14.9,36.6,0.6,2.9,21.9,4.7,6.2,76.5,0.5,3.5,4.0,7.1,3.3,1.6,0.7,2.6,35.5,2,0,2.7
Bradley Beal,#3,2017-18 ,WAS,6,35.9,23.2,8.2,18.0,45.4,3.5,7.5,46.7,3.3,3.8,87.0,0.3,3.0,3.3,2.8,2.5,1.2,0.3,3.2,33.4,0,0,-7.8
Bradley Beal,#3,2016-17 ,WAS,13,38.9,24.8,9.4,19.9,47.1,2.2,7.8,28.7,3.8,4.7,82.0,1.2,2.2,3.4,2.7,2.1,1.6,0.6,2.9,37.6,0,0,2.5
Bradley Beal,#3,2014-15 ,WAS,10,41.8,23.4,8.1,20.0,40.5,2.3,6.3,36.5,4.9,5.9,83.1,1.4,4.1,5.5,4.6,2.6,1.6,0.7,1.9,41.2,0,0,2.9
Bradley Beal,#3,2013-14 ,WAS,11,41.6,19.2,6.8,16.1,42.4,2.0,4.8,41.5,3.5,4.5,79.6,1.4,3.6,5.0,4.5,2.1,1.6,0.6,2.8,36.7,0,0,2.2
Ty Lawson,#4,2017-18 ,WAS,5,19.3,5.8,1.8,5.2,34.6,1.0,1.6,62.5,1.2,1.2,100,0.4,2.2,2.6,3.0,0.6,0.6,0.0,1.2,14.6,0,0,-0.6
Markieff Morris,#5,2017-18 ,WAS,6,30.2,9.8,4.0,8.2,49.0,0.3,2.0,16.7,1.5,1.7,90.0,2.3,5.2,7.5,1.7,1.0,0.7,0.8,3.7,24.8,2,0,-4.5
Markieff Morris,#5,2016-17 ,WAS,13,28.7,12.1,4.5,11.2,40.7,1.1,2.9,36.8,1.9,2.4,80.6,1.4,5.0,6.4,1.7,1.6,0.9,1.3,3.5,27.4,3,0,6.8
Devin Robinson,#7,2017-18 ,WAS,1,13.2,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,2.0,11.0,0,0,10.0
Tim Frazier,#8,2017-18 ,WAS,2,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.0,0.5,0.0,1.0,4.4,0,0,-1.5
Ramon Sessions,#9,2017-18 ,TOT,28,14.0,4.9,1.5,4.2,35.9,0.3,0.9,30.8,1.6,2.0,77.2,0.2,1.1,1.4,2.8,1.1,0.5,0.1,1.0,11.3,0,0,-3.0
Ramon Sessions,#9,2014-15 ,TOT,64,18.6,6.3,2.0,5.2,37.4,0.3,0.9,31.7,2.1,2.7,76.9,0.4,1.9,2.3,2.8,1.3,0.5,0.0,1.1,13.3,0,0,-2.5
Ramon Sessions,#9,2013-14 ,TOT,83,26.7,12.3,4.0,9.3,42.9,0.4,1.5,28.2,3.9,4.9,80.7,0.5,2.0,2.4,4.1,1.8,0.6,0.1,1.1,21.7,3,0,-2.0
Ramon Sessions,#9,2011-12 ,TOT,64,26.7,11.3,3.8,8.8,42.8,0.7,1.5,44.3,3.0,3.9,78.2,0.5,2.8,3.3,5.5,2.2,0.7,0.0,1.6,23.6,5,0,-0.6
Kelly Oubre Jr.,#12,2017-18 ,WAS,6,24.7,9.3,3.0,8.0,37.5,0.7,3.2,21.1,2.7,3.0,88.9,0.2,3.7,3.8,0.7,0.8,1.0,0.5,2.7,18.6,0,0,0.7
Kelly Oubre Jr.,#12,2016-17 ,WAS,12,15.4,5.8,2.2,5.1,42.6,0.9,2.5,36.7,0.6,0.8,70.0,0.8,1.6,2.3,0.3,0.6,0.8,0.4,3.2,12.3,0,0,-9.3
Marcin Gortat,#13,2017-18 ,WAS,6,26.6,8.7,4.0,7.2,55.8,0.0,0.0,0.0,0.7,1.2,57.1,2.2,4.2,6.3,1.0,1.0,0.0,0.3,2.5,17.8,1,0,-0.2
Marcin Gortat,#13,2016-17 ,WAS,13,31.4,8.1,3.6,7.2,50.5,0.0,0.0,0.0,0.8,1.4,61.1,4.0,7.0,11.0,1.8,1.3,0.4,1.5,3.1,28.5,5,0,4.5
Marcin Gortat,#13,2014-15 ,WAS,10,30.7,12.4,5.4,8.6,62.8,0.0,0.0,0.0,1.6,2.4,66.7,2.7,6.1,8.8,2.2,1.6,0.6,1.1,2.9,29.8,3,0,2.1
Marcin Gortat,#13,2013-14 ,WAS,11,34.7,13.0,5.3,10.7,49.2,0.0,0.0,0.0,2.5,3.7,65.9,3.3,6.6,9.9,1.5,1.8,0.5,1.3,2.0,30.4,5,0,3.8
Jason Smith,#14,2017-18 ,WAS,1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0
Jason Smith,#14,2016-17 ,WAS,13,12.1,3.9,1.5,3.0,48.7,0.2,0.8,30.0,0.8,1.1,71.4,0.8,1.5,2.2,0.3,0.8,0.2,0.5,2.3,8.4,0,0,-3.2
Jodie Meeks,#20,2017-18 ,WAS,77,14.5,6.3,2.0,5.1,39.9,0.9,2.7,34.3,1.3,1.5,86.3,0.2,1.4,1.6,0.9,0.5,0.4,0.1,0.7,10.5,0,0,-2.0
Otto Porter Jr.,#22,2017-18 ,WAS,5,31.6,10.0,4.0,8.2,48.8,1.0,2.4,41.7,1.0,1.6,62.5,0.2,4.8,5.0,1.6,0.6,1.2,1.0,1.2,24.4,0,0,-1.8
Otto Porter Jr.,#22,2016-17 ,WAS,13,32.9,12.2,4.5,8.4,53.2,0.8,3.0,28.2,2.4,2.7,88.6,1.2,5.8,6.9,1.8,0.8,1.6,0.5,2.0,28.8,2,0,6.4
Otto Porter Jr.,#22,2014-15 ,WAS,10,33.1,10.0,3.9,8.8,44.3,1.2,3.2,37.5,1.0,2.1,47.6,2.4,5.6,8.0,1.8,0.6,1.2,0.2,1.6,25.9,1,0,6.2
Otto Porter Jr.,#22,2013-14 ,WAS,3,2.0,0.7,0.3,1.0,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0,-2.3
Ian Mahinmi,#28,2017-18 ,WAS,6,8.7,5.0,1.7,2.3,71.4,0.0,0.0,0.0,1.7,1.8,90.9,0.7,1.2,1.8,0.2,0.2,0.7,0.8,1.7,11.8,0,0,0.8
Ian Mahinmi,#28,2016-17 ,WAS,5,12.5,2.8,1.0,1.8,55.6,0.0,0.0,0.0,0.8,2.2,36.4,0.6,1.6,2.2,1.2,0.6,0.2,1.2,3.4,10.8,0,0,-7.4
Mike Scott,#30,2017-18 ,WAS,6,21.0,10.8,4.3,6.8,63.4,1.2,1.8,63.6,1.0,1.0,100,1.0,2.5,3.5,0.7,0.8,0.3,0.2,1.7,16.7,0,0,5.5
Tomas Satoransky,#31,2017-18 ,WAS,6,10.0,1.2,0.3,2.2,15.4,0.0,0.5,0.0,0.5,0.7,75.0,0.8,0.7,1.5,0.5,0.5,0.0,0.0,0.7,3.2,0,0,-1.3
Tomas Satoransky,#31,2016-17 ,WAS,10,3.6,0.8,0.3,0.6,50.0,0.0,0.0,0.0,0.2,0.5,40.0,0.1,0.4,0.5,0.6,0.2,0.1,0.0,0.4,2.4,0,0,0.0
Darrell Arthur,#00,2017-18 ,DEN,19,7.4,2.8,1.2,2.5,46.8,0.4,1.2,34.8,0.1,0.2,66.7,0.2,0.6,0.8,0.5,0.8,0.4,0.2,1.2,5.4,0,0,-1.7
Darrell Arthur,#00,2016-17 ,DEN,41,15.6,6.4,2.3,5.2,44.2,1.3,2.9,45.3,0.5,0.5,86.4,0.6,2.1,2.7,1.0,0.9,0.5,0.5,1.9,13.3,0,0,-0.6
Darrell Arthur,#00,2015-16 ,DEN,70,21.7,7.5,3.2,7.0,45.2,0.6,1.7,38.5,0.6,0.8,75.5,1.2,3.0,4.2,1.4,0.9,0.8,0.7,2.6,18.0,2,0,-0.7
Darrell Arthur,#00,2014-15 ,DEN,58,17.0,6.6,2.7,6.6,40.4,0.4,1.9,23.6,0.8,1.0,78.0,0.9,2.0,2.9,1.0,0.8,0.8,0.4,2.5,14.6,2,0,-0.2
Darrell Arthur,#00,2013-14 ,DEN,68,17.1,5.9,2.4,6.0,39.5,0.4,0.9,37.5,0.8,0.9,85.5,0.8,2.3,3.1,0.9,0.9,0.6,0.7,2.7,13.9,0,0,1.0
Torrey Craig,#3,2017-18 ,DEN,39,16.1,4.2,1.6,3.5,45.3,0.4,1.5,29.3,0.6,0.9,62.9,1.0,2.2,3.3,0.6,0.5,0.3,0.4,1.6,10.6,0,0,-1.6
Paul Millsap,#4,2017-18 ,DEN,38,30.1,14.6,5.3,11.4,46.4,1.0,3.0,34.5,2.9,4.2,69.6,1.7,4.7,6.4,2.8,1.9,1.0,1.2,2.6,31.1,2,0,2.7
Will Barton,#5,2017-18 ,DEN,81,33.1,15.7,5.7,12.7,45.2,1.9,5.2,37.0,2.2,2.8,80.5,0.9,4.2,5.0,4.1,1.8,1.0,0.6,2.1,31.0,2,0,1.5
Will Barton,#5,2016-17 ,DEN,60,28.4,13.7,4.9,11.1,44.3,1.5,3.9,37.0,2.4,3.2,75.3,1.0,3.4,4.3,3.4,1.6,0.8,0.5,1.8,26.2,2,0,-1.3
Will Barton,#5,2015-16 ,DEN,82,28.7,14.4,5.2,12.0,43.2,1.4,4.0,34.5,2.6,3.3,80.6,0.7,5.1,5.8,2.5,1.7,0.9,0.5,1.8,27.4,6,0,-1.6
Will Barton,#5,2014-15 ,DEN,28,24.4,11.0,4.0,9.0,44.3,0.7,2.4,28.4,2.3,2.8,81.0,0.8,3.8,4.6,1.9,1.6,1.2,0.5,1.8,23.0,2,0,-0.9
Trey Lyles,#7,2017-18 ,DEN,73,19.1,9.9,3.7,7.5,49.1,1.1,3.0,38.1,1.4,2.0,70.1,0.8,4.0,4.8,1.2,0.8,0.4,0.5,1.5,19.3,6,0,0.1
Monte Morris,#11,2017-18 ,DEN,3,8.4,3.3,1.3,2.0,66.7,0.0,0.3,0.0,0.7,0.7,100,0.0,0.7,0.7,2.3,0.3,1.0,0.0,0.3,10.3,0,0,-2.3
Gary Harris,#14,2017-18 ,DEN,67,34.4,17.5,6.6,13.6,48.5,2.3,5.9,39.6,2.0,2.4,82.7,0.6,2.1,2.6,2.9,1.8,1.8,0.2,1.8,29.3,0,0,2.6
Gary Harris,#14,2016-17 ,DEN,57,31.3,14.9,5.6,11.2,50.2,1.9,4.5,42.0,1.8,2.4,77.6,0.8,2.3,3.1,2.9,1.3,1.2,0.1,1.6,25.8,0,0,1.4
Gary Harris,#14,2015-16 ,DEN,76,32.1,12.3,4.7,10.1,46.9,1.4,3.9,35.4,1.4,1.8,82.0,0.7,2.2,2.9,1.9,1.3,1.3,0.2,1.9,21.9,0,0,-2.8
Gary Harris,#14,2014-15 ,DEN,55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.7,0.1,1.3,7.4,0,0,-3.2
Nikola Jokic,#15,2017-18 ,DEN,75,32.6,18.5,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85.0,2.6,8.1,10.7,6.1,2.8,1.2,0.8,2.8,43.7,38,10,4.7
Nikola Jokic,#15,2016-17 ,DEN,73,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,38.3,39,6,4.1
Nikola Jokic,#15,2015-16 ,DEN,80,21.7,10.0,3.8,7.5,51.2,0.4,1.1,33.3,1.9,2.4,81.1,2.3,4.7,7.0,2.4,1.3,1.0,0.6,2.6,25.4,16,0,1.2
Tyler Lydon,#20,2017-18 ,DEN,1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.0
Wilson Chandler,#21,2017-18 ,DEN,74,31.7,10.0,3.8,8.5,44.5,1.2,3.3,35.8,1.2,1.5,77.2,1.4,4.0,5.4,2.1,1.2,0.6,0.5,2.1,21.7,4,0,0.8
Wilson Chandler,#21,2016-17 ,DEN,71,30.9,15.7,6.1,13.2,46.1,1.5,4.6,33.7,2.0,2.7,72.7,1.5,5.0,6.5,2.0,1.6,0.7,0.4,2.4,28.3,9,0,-0.5
Wilson Chandler,#21,2014-15 ,DEN,78,31.7,13.9,5.4,12.5,42.9,1.8,5.2,34.2,1.4,1.8,77.5,1.2,4.9,6.1,1.7,1.4,0.7,0.4,3.0,25.7,8,0,-2.8
Wilson Chandler,#21,2013-14 ,DEN,62,31.1,13.6,5.0,11.9,41.6,2.0,5.7,34.8,1.8,2.5,72.4,0.9,3.8,4.7,1.8,1.3,0.7,0.5,3.1,24.5,2,0,-2.8
Wilson Chandler,#21,2012-13 ,DEN,43,25.1,13.0,4.9,10.6,46.2,1.2,2.9,41.3,2.0,2.6,79.3,1.0,4.0,5.1,1.3,1.4,1.0,0.3,2.8,23.7,0,0,4.1
Wilson Chandler,#21,2011-12 ,DEN,8,26.8,9.4,3.9,9.9,39.2,0.4,1.5,25.0,1.3,1.5,83.3,0.8,4.4,5.1,2.1,2.3,0.8,0.8,2.3,21.0,1,0,-2.4
Wilson Chandler,#21,2010-11 ,DEN,21,30.6,12.5,4.8,11.5,41.9,1.2,3.6,34.7,1.6,2.0,81.0,0.6,4.4,5.0,1.6,1.8,0.7,1.1,2.2,24.6,1,0,4.5
