Name,Num,By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Andrew White III,#4,2017-18 ,ATL,15,13.9,4.6,1.7,4.9,34.2,1.2,3.3,36.7,0.1,0.3,25.0,0.3,2.0,2.3,0.4,0.5,0.2,0.1,0.8,8.2,0,0,-5.1
Malcolm Delaney,#5,2017-18 ,ATL,54,18.8,6.3,2.0,5.3,38.2,0.9,2.3,37.1,1.4,1.7,80.4,0.2,1.7,1.9,3.0,1.2,0.6,0.1,1.5,14.1,0,0,-1.9
Malcolm Delaney,#5,2016-17 ,ATL,73,17.1,5.4,2.0,5.3,37.4,0.4,1.5,23.6,1.0,1.3,80.6,0.1,1.5,1.7,2.6,1.3,0.5,0.0,1.5,11.7,0,0,0.5
Jeremy Evans,#6,2017-18 ,ATL,1,5.4,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.2,0,0,-4.0
Damion Lee,#8,2017-18 ,ATL,15,27.0,10.7,4.1,10.1,40.8,1.0,4.0,25.0,1.5,1.9,75.9,0.7,4.0,4.7,1.9,0.9,1.3,0.1,1.7,22.4,0,0,-1.5
Josh Magette,#11,2017-18 ,ATL,18,12.0,2.6,0.8,2.6,32.6,0.4,1.2,36.4,0.4,0.4,100,0.1,0.9,1.1,3.2,0.5,0.4,0.1,0.9,9.6,0,0,-0.1
Taurean Prince,#12,2017-18 ,ATL,82,30.0,14.1,5.1,11.9,42.6,2.1,5.6,38.5,1.9,2.2,84.4,0.6,4.1,4.7,2.6,2.3,1.0,0.5,2.0,26.0,5,0,-4.5
Taurean Prince,#12,2016-17 ,ATL,59,16.6,5.7,1.9,4.8,40.0,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,1.0,0.7,0.5,1.6,12.8,0,0,-0.5
Dewayne Dedmon,#14,2017-18 ,ATL,62,24.9,10.0,4.0,7.7,52.4,0.8,2.3,35.5,1.1,1.4,77.9,1.6,6.3,7.9,1.5,1.4,0.6,0.8,2.6,24.6,15,0,-2.5
Dennis Schroder,#17,2017-18 ,ATL,67,31.0,19.4,7.5,17.1,43.6,1.1,3.9,29.0,3.4,4.0,84.9,0.7,2.4,3.1,6.2,2.7,1.1,0.1,2.2,33.2,5,0,-4.1
Dennis Schroder,#17,2016-17 ,ATL,79,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34.0,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,31.3,10,0,-1.0
Dennis Schroder,#17,2015-16 ,ATL,80,20.3,11.0,4.1,9.8,42.1,1.0,3.0,32.2,1.8,2.3,79.1,0.3,2.2,2.6,4.4,2.3,0.9,0.1,1.7,21.3,2,0,2.8
Dennis Schroder,#17,2014-15 ,ATL,77,19.7,10.0,3.7,8.6,42.7,0.7,1.9,35.1,1.9,2.3,82.7,0.4,1.8,2.1,4.1,1.9,0.6,0.1,1.6,18.8,5,0,0.1
Dennis Schroder,#17,2013-14 ,ATL,49,13.1,3.7,1.5,3.8,38.3,0.2,0.9,23.8,0.6,0.9,67.4,0.1,1.1,1.2,1.9,1.2,0.3,0.0,1.1,7.8,0,0,-4.2
Miles Plumlee,#18,2017-18 ,ATL,55,16.7,4.3,1.9,3.3,58.3,0.0,0.0,0.0,0.5,1.1,45.0,1.4,2.7,4.1,0.8,1.1,0.3,0.5,1.4,11.9,1,0,-2.9
John Collins,#20,2017-18 ,ATL,74,24.1,10.5,4.2,7.4,57.6,0.2,0.6,34.0,1.8,2.5,71.5,2.4,4.9,7.3,1.3,1.4,0.6,1.1,2.9,25.0,11,0,-3.0
Isaiah Taylor,#22,2017-18 ,ATL,67,17.4,6.6,2.4,5.8,41.8,0.3,1.2,25.0,1.5,2.1,70.2,0.3,1.1,1.4,3.1,1.3,0.5,0.1,1.7,13.7,0,0,-0.5
Kent Bazemore,#24,2017-18 ,ATL,65,27.5,12.9,4.4,10.4,42.0,1.7,4.2,39.4,2.5,3.1,79.6,0.4,3.4,3.8,3.5,2.4,1.5,0.7,2.3,27.0,0,0,-2.5
Kent Bazemore,#24,2016-17 ,ATL,73,26.9,11.0,4.0,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,22.6,1,0,-1.5
Kent Bazemore,#24,2015-16 ,ATL,75,27.8,11.6,4.3,9.7,44.1,1.5,4.1,35.7,1.6,2.0,81.5,0.4,4.7,5.1,2.3,1.8,1.3,0.5,2.3,24.7,1,0,1.0
Kent Bazemore,#24,2014-15 ,ATL,75,17.6,5.2,1.9,4.4,42.6,0.6,1.8,36.4,0.8,1.3,60.0,0.3,2.7,3.0,1.0,1.0,0.7,0.4,1.7,12.7,0,0,-1.3
Mike Muscala,#31,2017-18 ,ATL,53,20.0,7.6,2.7,5.9,45.8,1.2,3.2,37.1,1.1,1.2,91.9,1.1,3.3,4.3,1.0,0.8,0.6,0.5,1.5,16.8,2,0,-1.5
